Regionlevel,Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
,Angola,AGO,25-Apr-20,2,25
,Angola,AGO,26-Apr-20,2,25
,Angola,AGO,27-Apr-20,2,26
,Angola,AGO,28-Apr-20,2,27
,Angola,AGO,29-Apr-20,2,27
,Angola,AGO,30-Apr-20,2,27
,Anguilla,AIA,27-Mar-20,,2
,Anguilla,AIA,28-Mar-20,,2
,Anguilla,AIA,29-Mar-20,,2
,Anguilla,AIA,30-Mar-20,,2
,Anguilla,AIA,31-Mar-20,,2
,Anguilla,AIA,1-Apr-20,,2
,Anguilla,AIA,2-Apr-20,,2
,Anguilla,AIA,3-Apr-20,,3
,Anguilla,AIA,4-Apr-20,,3
,Anguilla,AIA,5-Apr-20,,3
,Anguilla,AIA,6-Apr-20,,3
,Anguilla,AIA,7-Apr-20,,3
,Anguilla,AIA,8-Apr-20,,3
,Anguilla,AIA,9-Apr-20,,3
,Anguilla,AIA,10-Apr-20,,3
,Anguilla,AIA,11-Apr-20,,3
,Anguilla,AIA,12-Apr-20,,3
,Anguilla,AIA,13-Apr-20,,3
,Anguilla,AIA,14-Apr-20,,3
,Anguilla,AIA,15-Apr-20,,3
,Anguilla,AIA,16-Apr-20,,3
,Anguilla,AIA,17-Apr-20,,3
,Anguilla,AIA,18-Apr-20,,3
,Anguilla,AIA,19-Apr-20,,3
,Anguilla,AIA,20-Apr-20,,3
,Anguilla,AIA,21-Apr-20,,3
,Anguilla,AIA,22-Apr-20,,3
,Anguilla,AIA,23-Apr-20,,3
,Anguilla,AIA,24-Apr-20,,3
,Anguilla,AIA,25-Apr-20,,3
,Anguilla,AIA,26-Apr-20,,3
,Anguilla,AIA,27-Apr-20,,3
,Anguilla,AIA,28-Apr-20,,3
,Anguilla,AIA,29-Apr-20,,3
,Anguilla,AIA,30-Apr-20,,3
,Antigua and Barbuda,ATG,15-Mar-20,,1
,Antigua and Barbuda,ATG,21-Mar-20,,1
,Antigua and Barbuda,ATG,22-Mar-20,,1
,Antigua and Barbuda,ATG,23-Mar-20,,1
,Antigua and Barbuda,ATG,24-Mar-20,,1
,Antigua and Barbuda,ATG,25-Mar-20,,3
,Antigua and Barbuda,ATG,26-Mar-20,,3
,Antigua and Barbuda,ATG,27-Mar-20,,7
,Antigua and Barbuda,ATG,28-Mar-20,,7
,Antigua and Barbuda,ATG,29-Mar-20,,7
,Antigua and Barbuda,ATG,30-Mar-20,,7
,Antigua and Barbuda,ATG,31-Mar-20,,7
